max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km)
0.0,301,100,80,40,101,40,0,0,0,0,0,0,0,0,"방화대로,올림픽대로,올림픽대로",12700,26,14
0.02,0,20,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙3로,마곡서1로,-",3800,1,0.293
0.0,296,100,80,79,20,0,0,0,0,0,0,0,0,0,"마곡중앙5로,방화대로,방화대로47가길",4900,10,3.1
-0.05,359,160,60,19,61,20,0,0,0,0,0,0,0,0,"방화대로47길,올림픽대로,올림픽대로",10600,23,11
-0.08,181,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙5로,방화대로,방화대로47가길",4900,11,3.2
0.08,102,21,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙5로,방화대로,방화대로47가길",5000,11,3.1
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"금낭화로24길,방화대로47가길,금낭화로26길",3800,3,0.52
-0.01,0,0,41,0,0,20,0,0,0,0,0,0,0,0,"양천로,화곡로,올림픽대로",9500,19,8.2
0.08,0,0,0,0,0,20,0,0,0,0,0,0,0,0,"방화대로,방화대로,올림픽대로",3800,3,1
2263.38,58,54,28,25,0,0,0,0,0,0,0,0,0,0,"선녀바위로,용유서로,선녀바위로",4800,6,3.4
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"인천국제공항고속도로,제2경인고속도로(인천대교),경원대로",26700,37,33
1810.48,0,3,55,0,0,0,0,0,0,0,0,0,0,0,"공항대로,마곡서로,마곡중앙3로",3800,4,1.5
1655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙8로,강서로,올림픽대로",8400,23,7.4
1395.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항대로,마곡서1로,마곡중앙1로",4000,8,2.4
1669.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙1로,마곡서로,마곡중앙1로",3800,4,0.846
1371.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙1로,마곡서1로,-",3800,1,0.154
5576.21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙1로,마곡서1로,공항대로",3800,5,1.5
1394.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항대로7길,방화대로21길,방화대로",3800,2,0.583
1533.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡서1로,-,-",3800,2,0.497
988.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로,방화대로,마곡중앙5로",3800,3,0.918
1851.3,0,64,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로,-,-",3800,2,0.798
